pctid,x,y,z,wconfid
20,1.023,-0.020,-0.121,1
20,1.023,-0.004,-0.125,1
20,1.016,0.082,-0.125,1
20,1.039,0.113,-0.117,1
20,1.012,0.078,-0.148,1
20,1.023,-0.012,-0.137,1
20,0.992,0.047,-0.133,1
20,0.961,0.004,-0.145,1
20,0.996,-0.094,-0.148,1
20,0.992,0.047,-0.133,1
20,1.016,0.023,-0.121,1
20,1.035,0.117,-0.121,1
20,0.973,-0.141,-0.168,1
20,1.000,0.035,-0.145,1
20,0.977,-0.012,-0.133,1
20,1.012,0.105,-0.133,1
20,1.051,0.074,-0.125,1
20,1.016,0.148,-0.137,1
20,0.973,-0.094,-0.121,1
20,0.996,0.105,-0.125,1
20,0.980,-0.047,-0.141,1
20,0.992,-0.020,-0.133,1
20,0.980,-0.066,-0.148,1
25,0.969,-0.051,-0.156,1
25,0.969,0.055,-0.121,1
25,1.047,-0.074,-0.121,1
25,0.965,-0.105,-0.113,1
25,1.035,-0.039,-0.121,1
25,1.051,-0.051,-0.117,1
25,1.008,0.000,-0.125,1
25,1.008,0.023,-0.117,1
25,0.965,-0.066,-0.121,1
25,1.051,0.105,-0.109,1
25,1.012,-0.035,-0.117,1
25,0.969,-0.152,-0.156,1
25,0.980,0.082,-0.117,1
25,0.969,-0.156,-0.137,1
25,1.031,0.074,-0.113,1
25,0.980,-0.023,-0.113,1
25,1.016,0.055,-0.125,1
25,0.980,-0.160,-0.156,1
25,1.027,0.059,-0.117,1
25,0.969,-0.078,-0.148,1
25,0.957,0.137,-0.121,1
25,0.977,0.094,-0.109,1
25,1.016,0.082,-0.141,1
30,0.977,-0.055,-0.152,1
30,0.973,0.082,-0.125,1
30,1.000,-0.141,-0.109,1
30,1.035,0.070,-0.102,1
30,1.000,0.094,-0.141,1
30,0.961,-0.031,-0.156,1
30,0.988,0.000,-0.129,1
30,0.988,0.063,-0.141,1
30,1.020,-0.043,-0.141,1
30,0.969,0.059,-0.137,1
30,1.016,-0.051,-0.152,1
30,0.980,0.086,-0.129,1
30,0.980,0.094,-0.141,1
30,1.000,-0.012,-0.121,1
30,0.980,-0.055,-0.133,1
30,0.957,-0.027,-0.133,1
30,0.977,0.086,-0.137,1
30,1.027,0.012,-0.125,1
30,0.992,-0.023,-0.105,1
30,0.992,-0.055,-0.102,1
30,1.023,0.031,-0.117,1
30,1.000,-0.008,-0.121,1
30,0.992,0.031,-0.125,1
30,1.008,0.012,-0.105,1
35,1.004,-0.051,-0.125,1
35,0.988,0.004,-0.094,1
35,0.988,-0.055,-0.141,1
35,0.957,0.070,-0.074,1
35,1.012,0.070,-0.090,1
35,0.965,0.055,-0.117,1
35,0.988,0.074,-0.137,1
35,1.016,0.043,-0.145,1
35,1.043,0.074,-0.148,1
35,1.121,0.051,-0.160,1
35,1.023,0.047,-0.152,1
35,0.953,0.031,-0.145,1
35,1.027,0.008,-0.094,1
35,0.980,-0.090,-0.117,1
35,0.988,-0.047,-0.113,1
35,0.988,0.102,-0.109,1
35,0.953,0.094,-0.145,1
35,1.008,-0.043,-0.113,1
35,1.004,0.008,-0.129,1
35,1.078,0.016,-0.152,1
