at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,class
0.266074,-0.16562,0.32098,0.483299,0.17234,0.273364,0.371178,0.929823,0.251173,0.159345,1
0.117948,-0.220579,-3.210528,-1.623238,0.261718,-0.349509,0.257927,-0.385979,-0.247731,-0.33131,1
-0.042522,-2.395356,-3.210528,-1.128463,-0.721442,0.397939,0.257927,-1.167255,-0.060642,0.345537,1
0.142636,-0.244132,-3.206971,0.165524,0.887365,-2.093552,-0.874585,-2.69449,-3.334697,-1.399407,9
-0.00549,0.478177,0.029355,-0.247644,0.17234,1.062336,0.333428,-0.670454,0.095265,0.902376,1
0.105604,-0.087108,0.367214,1.522618,0.261718,1.186911,0.635431,0.574967,0.656532,0.81758,1
0.463576,0.109171,0.224957,-1.411178,0.261718,0.06574,0.257927,0.468454,0.282354,0.050018,1
-0.030178,-0.220579,0.242739,1.988271,0.17234,-0.224934,0.182426,1.346147,-0.091823,-0.173894,1
-0.264711,-0.275537,0.384996,1.343918,0.261718,0.356414,0.220177,-0.647699,-1.183175,0.323223,1
0.130292,-0.024299,0.246296,0.121006,0.082961,0.14879,0.408929,0.219723,-0.372457,0.026486,1
0.019197,0.038511,0.19295,0.323367,0.261718,0.231839,0.031425,0.313558,0.251173,0.319293,6
0.500607,0.140576,0.388552,-0.637358,0.261718,-2.716425,-1.063338,-0.899594,-3.490604,-1.947506,8
0.364825,-0.149918,0.171611,0.04277,0.261718,-0.307984,0.106925,0.456805,-0.310094,-0.207975,6
-2.215039,-0.29909,0.352988,0.054854,-1.704602,1.43606,0.55993,-0.744892,0.001721,1.078163,1
0.130292,-0.212727,0.324537,0.386474,0.261718,0.439463,0.144676,-0.650786,-0.154186,0.445257,6
0.15498,0.140576,0.228514,0.766134,-1.257711,0.813187,0.52218,0.069293,-0.247731,0.553825,1
-0.16596,-0.267686,0.256965,0.051662,0.261718,0.522513,-1.214339,-1.151082,-0.933723,1.43062,1
0.15498,-0.236281,0.01513,0.558909,0.17234,0.480988,-0.006326,0.330799,0.219991,0.575669,1
-0.141273,0.729415,0.079145,0.151709,0.261718,-0.349509,0.295677,0.269757,0.032902,-0.354456,6
-0.128929,-0.409007,0.175168,-0.256565,0.082961,0.564038,0.899684,1.312248,0.750076,0.151606,5
0.401857,-0.29909,0.328093,0.432395,-1.257711,0.273364,0.333428,0.692139,-0.185368,0.190713,1
0.031541,-0.118513,0.374326,-0.066706,0.261718,0.14879,0.220177,0.681674,0.500624,0.127568,1
