at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,at27,at28,at29,at30,at31,at32,at33,at34,at35,at36,at37,at38,at39,at40,at41,at42,at43,at44,at45,at46,at47,at48,at49,at50,at51,at52,at53,at54,at55,at56,at57,at58,at59,at60,at61,at62,at63,class
0.025391,0.012695,0.003906,0.004883,0.039062,0,0.017578,0.035156,0.023438,0.013672,0.000977,0.036133,0,0,0,0,0.024414,0,0.02832,0.021484,0,0.003906,0.007812,0.001953,0,0.001953,0.044922,0,0.027344,0,0.03125,0,0,0.069336,0,0,0.000977,0.027344,0.023438,0.012695,0.006836,0,0.011719,0.16211,0.005859,0.022461,0.025391,0.013672,0,0.041016,0,0,0,0.012695,0.10352,0,0.001953,0.000977,0.022461,0,0,0.001953,0,0.027344,1
0.004883,0.018555,0.00293,0,0.069336,0,0.013672,0.043945,0.026367,0,0,0.39551,0,0,0,0,0.032227,0,0.010742,0.027344,0,0,0.032227,0.000977,0,0,0.000977,0,0.02832,0.000977,0.027344,0,0,0.018555,0.003906,0,0,0.020508,0,0.000977,0,0,0.000977,0.003906,0.03125,0.014648,0.012695,0.037109,0,0.011719,0,0,0,0.011719,0.070312,0,0.017578,0,0.004883,0,0,0,0,0.00293,1
0.018555,0.013672,0.00293,0.00293,0.051758,0,0.019531,0.035156,0.022461,0.000977,0,0.20898,0,0,0,0,0.042969,0,0.017578,0.021484,0,0,0.035156,0.003906,0,0,0.014648,0,0.023438,0,0.025391,0,0,0.0625,0.00293,0,0,0.027344,0.004883,0.007812,0,0,0.012695,0.020508,0.033203,0.016602,0.025391,0.021484,0,0.007812,0,0,0,0.022461,0.15625,0,0.008789,0,0.001953,0,0,0,0,0.005859,1
0.035156,0.023438,0.000977,0,0.061523,0,0.021484,0.061523,0.010742,0.001953,0,0.22266,0,0,0,0,0.022461,0,0.008789,0.018555,0,0,0.036133,0,0,0,0.000977,0,0.035156,0,0.040039,0,0,0.078125,0.00293,0,0,0.039062,0.001953,0.004883,0,0,0.000977,0.004883,0.019531,0.025391,0.021484,0.019531,0,0.012695,0,0,0,0.009766,0.10547,0,0.026367,0,0.00293,0,0,0,0,0.022461,1
0.038086,0.014648,0.003906,0.000977,0.046875,0,0.022461,0.053711,0.019531,0.004883,0.000977,0.076172,0,0,0,0,0.019531,0,0.006836,0.035156,0,0.007812,0.033203,0,0,0,0.015625,0,0.032227,0,0.049805,0,0,0.073242,0,0,0,0.019531,0.016602,0.006836,0,0,0.012695,0.058594,0.018555,0.029297,0.020508,0.013672,0,0.035156,0,0,0,0.020508,0.15039,0,0.00293,0,0.023438,0,0,0,0,0.015625,1
0.045898,0.017578,0,0.003906,0.044922,0,0.017578,0.036133,0.006836,0.00293,0,0.058594,0,0.000977,0,0,0.021484,0,0.011719,0.024414,0,0,0.036133,0.003906,0.00293,0,0.042969,0,0.018555,0,0.064453,0,0,0.10059,0.000977,0,0,0.025391,0.011719,0.008789,0.00293,0,0.023438,0.082031,0.021484,0.03125,0.032227,0.016602,0,0.004883,0,0,0,0.018555,0.11035,0,0.006836,0,0.008789,0,0,0.000977,0,0.030273,1
0.011719,0.012695,0.001953,0.000977,0.064453,0,0.014648,0.052734,0.016602,0.001953,0,0.2168,0,0.005859,0,0,0.008789,0,0.005859,0.024414,0,0.011719,0.023438,0,0.000977,0,0.00293,0.000977,0.045898,0,0.040039,0,0,0.030273,0.001953,0,0,0.023438,0.006836,0.022461,0,0,0.009766,0.006836,0.009766,0.024414,0.029297,0.037109,0.000977,0.064453,0,0,0,0.019531,0.094727,0,0.015625,0,0.016602,0,0,0,0,0.020508,1
0.03418,0.018555,0.004883,0,0.055664,0,0.022461,0.032227,0.001953,0.005859,0,0.076172,0,0,0,0,0.021484,0,0.018555,0.009766,0,0,0.063477,0,0,0.000977,0.009766,0.003906,0.003906,0.000977,0.009766,0,0,0.15918,0,0,0,0.048828,0.004883,0.023438,0.00293,0,0.003906,0.038086,0.038086,0.048828,0.014648,0.005859,0,0,0,0,0,0.018555,0.17578,0,0.008789,0,0.000977,0,0,0,0,0.012695,1
0.044922,0.012695,0,0.000977,0.070312,0,0.008789,0.038086,0.00293,0,0,0.070312,0,0,0,0,0.033203,0,0.001953,0.014648,0,0,0.026367,0,0.000977,0,0,0,0.00293,0,0.00293,0,0,0.14453,0,0,0,0.071289,0.004883,0.013672,0,0,0.006836,0.041016,0.053711,0.054688,0.008789,0.015625,0,0.003906,0,0,0,0,0.16504,0,0.057617,0,0.001953,0,0,0,0,0.024414,1
0.095703,0.001953,0.00293,0.014648,0.023438,0,0.03418,0.015625,0.018555,0.050781,0.000977,0.045898,0,0.007812,0,0,0.001953,0,0.025391,0.010742,0,0.015625,0.006836,0,0.007812,0.003906,0.051758,0,0.048828,0.000977,0.037109,0,0.001953,0.038086,0.001953,0,0,0.019531,0.076172,0.025391,0.010742,0,0.018555,0.040039,0.003906,0.001953,0.040039,0.00293,0.000977,0.03418,0,0,0.00293,0.02832,0.061523,0,0.003906,0,0.027344,0,0,0.00293,0,0.033203,1
